task	Qwen3-4B_G3	Llama-3.1-8B_G3	Qwen3-14B_G3
T01	44.4	22.2	14.8
T02	100.0	100.0	20.0
T03	100.0	100.0	50.0
T04	28.6	0.0	9.5
T05	40.0	0.0	33.3
T06	80.0	80.0	20.0
T07	25.0	0.0	25.0
T08	57.1	71.4	57.1
T09	100.0	100.0	0.0
T10	100.0	50.0	13.3
T11	44.4	0.0	33.3
T12	57.1	0.0	38.1
T13	100.0	100.0	8.3
T14	100.0	100.0	20.0
T15	100.0	100.0	12.5
T16	20.0	10.0	20.0
T17	100.0	100.0	12.5
T18	100.0	100.0	46.7
T19	44.4	0.0	51.9
T20	20.0	N/A	N/A
T21	16.7	N/A	N/A
T22	0.0	N/A	N/A
T23	0.0	N/A	N/A
T24	46.2	N/A	N/A
T25	62.5	0.0	54.2
T26	0.0	0.0	16.7
T27	58.3	58.3	0.0
T28	0.0	0.0	0.0
T29	0.0	0.0	0.0
T30	60.0	60.0	60.0
T31	N/A	N/A	60.0
T32	N/A	N/A	0.0
T33	N/A	N/A	26.7
T34	N/A	N/A	53.3
T35	N/A	N/A	0.0
